distrito,nacionales,extranjeros,total,date,month,year
arganzuela,136198,14528,150726.0,2015-02-01,2,2015
barajas,41932,4018,45950.0,2015-02-01,2,2015
carabanchel,203383,37792,241175.0,2015-02-01,2,2015
centro,103843,27682,131525.0,2015-02-01,2,2015
chamartin,129791,12341,142132.0,2015-02-01,2,2015
chamberi,123275,14441,137716.0,2015-02-01,2,2015
ciudad_lineal,186664,25535,212199.0,2015-02-01,2,2015
fuencarral,217032,16875,233907.0,2015-02-01,2,2015
hortaleza,160411,15142,175553.0,2015-02-01,2,2015
latina,203602,31242,234844.0,2015-02-01,2,2015
moncloa,104941,11456,116397.0,2015-02-01,2,2015
moratalaz,87733,7212,94945.0,2015-02-01,2,2015
puente_vallecas,194541,32379,226920.0,2015-02-01,2,2015
retiro,110521,7883,118404.0,2015-02-01,2,2015
salamanca,127014,15849,142863.0,2015-02-01,2,2015
san_blas,137991,15065,153056.0,2015-02-01,2,2015
tetuan,126239,25442,151681.0,2015-02-01,2,2015
usera,109572,23798,133370.0,2015-02-01,2,2015
vicalvaro,61779,7807,69586.0,2015-02-01,2,2015
villaverde,118445,22865,141310.0,2015-02-01,2,2015
villa_vallecas,89405,10846,100251.0,2015-02-01,2,2015
madrid,2774312,380198,3154510.0,2015-02-01,2,2015
arganzuela,136339,14475,150814.0,2015-03-01,3,2015
barajas,42146,4018,46164.0,2015-03-01,3,2015
carabanchel,202776,37510,240286.0,2015-03-01,3,2015
centro,104256,27739,131995.0,2015-03-01,3,2015
chamartin,130061,12308,142369.0,2015-03-01,3,2015
chamberi,122870,14241,137111.0,2015-03-01,3,2015
ciudad_lineal,186351,25444,211795.0,2015-03-01,3,2015
fuencarral,217647,16862,234509.0,2015-03-01,3,2015
hortaleza,160314,15146,175460.0,2015-03-01,3,2015
latina,202781,31038,233819.0,2015-03-01,3,2015
moncloa,105229,11423,116652.0,2015-03-01,3,2015
moratalaz,86099,7021,93120.0,2015-03-01,3,2015
puente_vallecas,194298,32165,226463.0,2015-03-01,3,2015
retiro,110183,7759,117942.0,2015-03-01,3,2015
salamanca,127298,15798,143096.0,2015-03-01,3,2015
san_blas,137693,14890,152583.0,2015-03-01,3,2015
tetuan,126547,25468,152015.0,2015-03-01,3,2015
usera,108588,23563,132151.0,2015-03-01,3,2015
vicalvaro,62005,7795,69800.0,2015-03-01,3,2015
villaverde,118578,22726,141304.0,2015-03-01,3,2015
villa_vallecas,89872,10844,100716.0,2015-03-01,3,2015
madrid,2771931,378233,3150164.0,2015-03-01,3,2015
arganzuela,136339,14475,150814.0,2015-04-01,4,2015
barajas,42146,4018,46164.0,2015-04-01,4,2015
carabanchel,203938,37766,241704.0,2015-04-01,4,2015
centro,104256,27739,131995.0,2015-04-01,4,2015
chamartin,130061,12308,142369.0,2015-04-01,4,2015
chamberi,123448,14314,137762.0,2015-04-01,4,2015
ciudad_lineal,186951,25517,212468.0,2015-04-01,4,2015
fuencarral,217647,16862,234509.0,2015-04-01,4,2015
hortaleza,160892,15170,176062.0,2015-04-01,4,2015
latina,203937,31210,235147.0,2015-04-01,4,2015
moncloa,105229,11423,116652.0,2015-04-01,4,2015
moratalaz,87833,7154,94987.0,2015-04-01,4,2015
puente_vallecas,194884,32378,227262.0,2015-04-01,4,2015
retiro,110774,7824,118598.0,2015-04-01,4,2015
salamanca,127298,15798,143096.0,2015-04-01,4,2015
san_blas,138279,14954,153233.0,2015-04-01,4,2015
tetuan,126547,25468,152015.0,2015-04-01,4,2015
usera,109782,23703,133485.0,2015-04-01,4,2015
vicalvaro,62005,7798,69803.0,2015-04-01,4,2015
villaverde,118578,22726,141304.0,2015-04-01,4,2015
villa_vallecas,89872,10844,100716.0,2015-04-01,4,2015
madrid,2780696,379449,3160145.0,2015-04-01,4,2015
arganzuela,136330,14376,150706.0,2015-05-01,5,2015
barajas,42106,3970,46076.0,2015-05-01,5,2015
carabanchel,203812,37744,241556.0,2015-05-01,5,2015
centro,104159,27349,131508.0,2015-05-01,5,2015
chamartin,129938,12248,142186.0,2015-05-01,5,2015
chamberi,123167,14115,137282.0,2015-05-01,5,2015
ciudad_lineal,186769,25504,212273.0,2015-05-01,5,2015
fuencarral,217763,16739,234502.0,2015-05-01,5,2015
hortaleza,160856,15081,175937.0,2015-05-01,5,2015
latina,203719,31076,234795.0,2015-05-01,5,2015
moncloa,105129,11338,116467.0,2015-05-01,5,2015
moratalaz,87646,7122,94768.0,2015-05-01,5,2015
puente_vallecas,194591,32278,226869.0,2015-05-01,5,2015
retiro,110618,7753,118371.0,2015-05-01,5,2015
salamanca,127057,15747,142804.0,2015-05-01,5,2015
san_blas,138230,14835,153065.0,2015-05-01,5,2015
tetuan,126379,25371,151750.0,2015-05-01,5,2015
usera,109648,23687,133335.0,2015-05-01,5,2015
vicalvaro,61898,7732,69630.0,2015-05-01,5,2015
villaverde,118440,22702,141142.0,2015-05-01,5,2015
villa_vallecas,89972,10744,100716.0,2015-05-01,5,2015
madrid,2778227,377511,3155738.0,2015-05-01,5,2015
arganzuela,136575,14486,151061.0,2015-06-01,6,2015
barajas,42182,3984,46166.0,2015-06-01,6,2015
carabanchel,204141,37891,242032.0,2015-06-01,6,2015
centro,104339,27466,131805.0,2015-06-01,6,2015
chamartin,130064,12270,142334.0,2015-06-01,6,2015
chamberi,123313,14141,137454.0,2015-06-01,6,2015
ciudad_lineal,187031,25595,212626.0,2015-06-01,6,2015
fuencarral,218120,16763,234883.0,2015-06-01,6,2015
hortaleza,161224,15096,176320.0,2015-06-01,6,2015
latina,203769,31073,234842.0,2015-06-01,6,2015
moncloa,105241,11340,116581.0,2015-06-01,6,2015
moratalaz,87653,7132,94785.0,2015-06-01,6,2015
puente_vallecas,194753,32430,227183.0,2015-06-01,6,2015
retiro,110615,7775,118390.0,2015-06-01,6,2015
salamanca,127243,15880,143123.0,2015-06-01,6,2015
san_blas,138399,14904,153303.0,2015-06-01,6,2015
tetuan,126653,25489,152142.0,2015-06-01,6,2015
usera,109786,23793,133579.0,2015-06-01,6,2015
vicalvaro,61958,7751,69709.0,2015-06-01,6,2015
villaverde,118633,22824,141457.0,2015-06-01,6,2015
villa_vallecas,90214,10797,101011.0,2015-06-01,6,2015
madrid,2781906,378880,3160786.0,2015-06-01,6,2015
arganzuela,136765,14461,151226.0,2015-07-01,7,2015
barajas,42306,3978,46284.0,2015-07-01,7,2015
carabanchel,204194,38080,242274.0,2015-07-01,7,2015
centro,104512,27574,132086.0,2015-07-01,7,2015
chamartin,130118,12211,142329.0,2015-07-01,7,2015
chamberi,123460,14101,137561.0,2015-07-01,7,2015
ciudad_lineal,187152,25746,212898.0,2015-07-01,7,2015
fuencarral,218373,16841,235214.0,2015-07-01,7,2015
hortaleza,161524,15170,176694.0,2015-07-01,7,2015
latina,203812,31091,234903.0,2015-07-01,7,2015
moncloa,105341,11292,116633.0,2015-07-01,7,2015
moratalaz,87700,7152,94852.0,2015-07-01,7,2015
puente_vallecas,194936,32716,227652.0,2015-07-01,7,2015
retiro,110751,7802,118553.0,2015-07-01,7,2015
salamanca,127266,15877,143143.0,2015-07-01,7,2015
san_blas,138529,15003,153532.0,2015-07-01,7,2015
tetuan,126788,25623,152411.0,2015-07-01,7,2015
usera,109947,24026,133973.0,2015-07-01,7,2015
vicalvaro,62038,7792,69830.0,2015-07-01,7,2015
villaverde,118826,22975,141801.0,2015-07-01,7,2015
villa_vallecas,90437,10852,101289.0,2015-07-01,7,2015
madrid,2784775,380363,3165138.0,2015-07-01,7,2015
arganzuela,136638,14307,150945.0,2015-08-01,8,2015
barajas,42272,3891,46163.0,2015-08-01,8,2015
carabanchel,203824,37759,241583.0,2015-08-01,8,2015
centro,104163,27186,131349.0,2015-08-01,8,2015
chamartin,129962,12065,142027.0,2015-08-01,8,2015
chamberi,123235,13862,137097.0,2015-08-01,8,2015
ciudad_lineal,186768,25495,212263.0,2015-08-01,8,2015
fuencarral,218221,16747,234968.0,2015-08-01,8,2015
hortaleza,161438,14983,176421.0,2015-08-01,8,2015
latina,203464,30746,234210.0,2015-08-01,8,2015
moncloa,105357,11166,116523.0,2015-08-01,8,2015
moratalaz,87644,7077,94721.0,2015-08-01,8,2015
puente_vallecas,194488,32365,226853.0,2015-08-01,8,2015
retiro,110587,7732,118319.0,2015-08-01,8,2015
salamanca,126888,15554,142442.0,2015-08-01,8,2015
san_blas,138431,14900,153331.0,2015-08-01,8,2015
tetuan,126590,25378,151968.0,2015-08-01,8,2015
usera,109681,23915,133596.0,2015-08-01,8,2015
vicalvaro,62002,7708,69710.0,2015-08-01,8,2015
villaverde,118567,22730,141297.0,2015-08-01,8,2015
villa_vallecas,90477,10749,101226.0,2015-08-01,8,2015
madrid,2780697,376315,3157012.0,2015-08-01,8,2015
arganzuela,136598,14313,150911.0,2015-09-01,9,2015
barajas,42282,3916,46198.0,2015-09-01,9,2015
carabanchel,203725,37881,241606.0,2015-09-01,9,2015
centro,104311,27214,131525.0,2015-09-01,9,2015
chamartin,129928,12182,142110.0,2015-09-01,9,2015
chamberi,123176,13838,137014.0,2015-09-01,9,2015
ciudad_lineal,186654,25561,212215.0,2015-09-01,9,2015
fuencarral,218251,16721,234972.0,2015-09-01,9,2015
hortaleza,161654,15109,176763.0,2015-09-01,9,2015
latina,203388,30889,234277.0,2015-09-01,9,2015
moncloa,105289,11207,116496.0,2015-09-01,9,2015
moratalaz,87535,7117,94652.0,2015-09-01,9,2015
puente_vallecas,194383,32476,226859.0,2015-09-01,9,2015
retiro,110522,7741,118263.0,2015-09-01,9,2015
salamanca,126825,15644,142469.0,2015-09-01,9,2015
san_blas,138387,14920,153307.0,2015-09-01,9,2015
tetuan,126579,25483,152062.0,2015-09-01,9,2015
usera,109704,24090,133794.0,2015-09-01,9,2015
vicalvaro,62018,7717,69735.0,2015-09-01,9,2015
villaverde,118535,22807,141342.0,2015-09-01,9,2015
villa_vallecas,90615,10794,101409.0,2015-09-01,9,2015
madrid,2780359,377620,3157979.0,2015-09-01,9,2015
arganzuela,136960,14454,151414.0,2015-10-01,10,2015
barajas,42366,3976,46342.0,2015-10-01,10,2015
carabanchel,204098,38518,242616.0,2015-10-01,10,2015
centro,104729,27699,132428.0,2015-10-01,10,2015
chamartin,130232,12360,142592.0,2015-10-01,10,2015
chamberi,123500,14165,137665.0,2015-10-01,10,2015
ciudad_lineal,186953,25955,212908.0,2015-10-01,10,2015
fuencarral,218713,16965,235678.0,2015-10-01,10,2015
hortaleza,162310,15388,177698.0,2015-10-01,10,2015
latina,203563,31168,234731.0,2015-10-01,10,2015
moncloa,105459,11376,116835.0,2015-10-01,10,2015
moratalaz,87625,7237,94862.0,2015-10-01,10,2015
puente_vallecas,194697,32904,227601.0,2015-10-01,10,2015
retiro,110698,7894,118592.0,2015-10-01,10,2015
salamanca,127102,16125,143227.0,2015-10-01,10,2015
san_blas,138687,15126,153813.0,2015-10-01,10,2015
tetuan,126832,25829,152661.0,2015-10-01,10,2015
usera,109908,24273,134181.0,2015-10-01,10,2015
vicalvaro,62142,7837,69979.0,2015-10-01,10,2015
villaverde,118756,23055,141811.0,2015-10-01,10,2015
villa_vallecas,91000,10885,101885.0,2015-10-01,10,2015
madrid,2786330,383189,3169519.0,2015-10-01,10,2015
arganzuela,137141,14675,151816.0,2015-11-01,11,2015
barajas,42394,3999,46393.0,2015-11-01,11,2015
carabanchel,203999,38882,242881.0,2015-11-01,11,2015
centro,104988,28199,133187.0,2015-11-01,11,2015
